town,avg_resale_price,latitude,longitude
BUKIT TIMAH,782616,1.3294,103.8021
BISHAN,714623,1.3526,103.8352
CENTRAL AREA,696580,1.2897,103.8501
QUEENSTOWN,645138,1.2942,103.7861
BUKIT MERAH,642106,1.2819,103.8239
KALLANG/WHAMPOA,597892,1.31,103.8651
PASIR RIS,590374,1.3721,103.9493
TOA PAYOH,579004,1.3343,103.8563
TAMPINES,569044,1.3496,103.9568
SERANGOON,567839,1.3554,103.8679
CLEMENTI,561536,1.3162,103.7649
MARINE PARADE,559513,1.3021,103.9071
PUNGGOL,547265,1.4043,103.9022
SENGKANG,531636,1.3868,103.8914
HOUGANG,524648,1.3612,103.8863
GEYLANG,512299,1.3201,103.8918
BUKIT BATOK,507716,1.359,103.7637
BUKIT PANJANG,505644,1.3774,103.7719
SEMBAWANG,505125,1.4491,103.8185
CHOA CHU KANG,493375,1.384,103.747
ANG MO KIO,485470,1.3691,103.8454
BEDOK,484986,1.3236,103.9273
WOODLANDS,484165,1.4382,103.789
JURONG EAST,476823,1.3329,103.7436
JURONG WEST,466029,1.3404,103.709
YISHUN,454028,1.4304,103.8354
